idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
34,12,12,0,0.534321,0.696492,0.708333,12,0,0,1.0,12,0,0,1.0,12,0,0,1.0,11,1,1,0.916667,11,1,1,0.916667,11,1,1,0.916667,9,3,3,0.75,4,8,8,0.333333,2,10,10,0.166667,1,11,11,0.083333
35,13,10,3,0.743181,0.852672,0.608696,9,1,4,0.782609,9,1,4,0.782609,9,1,4,0.782609,8,2,5,0.695652,8,2,5,0.695652,7,3,6,0.608696,7,3,6,0.608696,6,4,7,0.521739,5,5,8,0.434783,2,8,11,0.173913
36,17,21,4,0.466395,0.636111,0.452632,13,8,4,0.684211,12,9,5,0.631579,12,9,5,0.631579,12,9,5,0.631579,12,9,5,0.631579,10,11,7,0.526316,8,13,9,0.421053,6,15,11,0.315789,1,20,16,0.052632,0,21,17,0.0
37,8,8,0,0.514124,0.679104,0.4875,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,5,3,3,0.625,4,4,4,0.5,3,5,5,0.375,2,6,6,0.25,1,7,7,0.125,0,8,8,0.0,0,8,8,0.0
38,14,10,4,0.755778,0.860904,0.65,10,0,4,0.833333,10,0,4,0.833333,10,0,4,0.833333,10,0,4,0.833333,8,2,6,0.666667,8,2,6,0.666667,8,2,6,0.666667,8,2,6,0.666667,6,4,8,0.5,0,10,14,0.0
39,65,48,17,0.30153,0.463347,0.470796,40,8,25,0.707965,39,9,26,0.690265,39,9,26,0.690265,36,12,29,0.637168,35,13,30,0.619469,33,15,32,0.584071,27,21,38,0.477876,13,35,52,0.230088,4,44,61,0.070796,0,48,65,0.0
40,86,70,16,0.322897,0.488166,0.50641,61,9,25,0.782051,60,10,26,0.769231,56,14,30,0.717949,54,16,32,0.692308,50,20,36,0.641026,40,30,46,0.512821,36,34,50,0.461538,26,44,60,0.333333,11,59,75,0.141026,1,69,85,0.012821
41,16,15,1,0.712957,0.832428,0.83871,15,0,1,0.967742,15,0,1,0.967742,15,0,1,0.967742,15,0,1,0.967742,15,0,1,0.967742,15,0,1,0.967742,15,0,1,0.967742,14,1,2,0.903226,9,6,7,0.580645,2,13,14,0.129032
42,46,41,5,0.416893,0.588461,0.588506,38,3,8,0.873563,37,4,9,0.850575,36,5,10,0.827586,35,6,11,0.804598,30,11,16,0.689655,29,12,17,0.666667,23,18,23,0.528736,18,23,28,0.413793,7,34,39,0.16092,3,38,43,0.068966
43,10,13,3,0.364709,0.534487,0.582609,10,3,0,0.869565,10,3,0,0.869565,9,4,1,0.782609,8,5,2,0.695652,8,5,2,0.695652,8,5,2,0.695652,7,6,3,0.608696,6,7,4,0.521739,1,12,9,0.086957,0,13,10,0.0
44,21,15,6,0.466016,0.635759,0.288889,11,4,10,0.611111,10,5,11,0.555556,9,6,12,0.5,9,6,12,0.5,6,9,15,0.333333,4,11,17,0.222222,2,13,19,0.111111,1,14,20,0.055556,0,15,21,0.0,0,15,21,0.0
