idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
52,14,3,11,0.863126,0.926536,0.235294,2,1,12,0.235294,2,1,12,0.235294,2,1,12,0.235294,2,1,12,0.235294,2,1,12,0.235294,2,1,12,0.235294,2,1,12,0.235294,2,1,12,0.235294,2,1,12,0.235294,2,1,12,0.235294
53,18,4,14,0.825006,0.904113,0.154545,2,2,16,0.181818,2,2,16,0.181818,2,2,16,0.181818,2,2,16,0.181818,2,2,16,0.181818,2,2,16,0.181818,2,2,16,0.181818,1,3,17,0.090909,1,3,17,0.090909,1,3,17,0.090909
54,16,4,12,0.878564,0.935357,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3
55,15,2,13,0.884333,0.938616,0.035294,1,1,14,0.117647,1,1,14,0.117647,1,1,14,0.117647,0,2,15,0.0,0,2,15,0.0,0,2,15,0.0,0,2,15,0.0,0,2,15,0.0,0,2,15,0.0,0,2,15,0.0
56,6,2,4,0.850987,0.919495,0.25,1,1,5,0.25,1,1,5,0.25,1,1,5,0.25,1,1,5,0.25,1,1,5,0.25,1,1,5,0.25,1,1,5,0.25,1,1,5,0.25,1,1,5,0.25,1,1,5,0.25
57,19,5,14,0.865885,0.928122,0.166667,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667,2,3,17,0.166667
58,9,6,3,0.812197,0.896367,0.52,6,0,3,0.8,5,1,4,0.666667,5,1,4,0.666667,4,2,5,0.533333,4,2,5,0.533333,3,3,6,0.4,3,3,6,0.4,3,3,6,0.4,3,3,6,0.4,3,3,6,0.4
59,9,4,5,0.858046,0.9236,0.369231,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692,2,2,7,0.307692
60,7,3,4,0.825724,0.904544,0.4,2,1,5,0.4,2,1,5,0.4,2,1,5,0.4,2,1,5,0.4,2,1,5,0.4,2,1,5,0.4,2,1,5,0.4,2,1,5,0.4,2,1,5,0.4,2,1,5,0.4
61,5,3,2,0.821604,0.902066,0.575,3,0,2,0.75,3,0,2,0.75,3,0,2,0.75,3,0,2,0.75,3,0,2,0.75,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,1,2,4,0.25,1,2,4,0.25
62,8,7,1,0.830504,0.907405,0.88,7,0,1,0.933333,7,0,1,0.933333,7,0,1,0.933333,7,0,1,0.933333,7,0,1,0.933333,7,0,1,0.933333,6,1,2,0.8,6,1,2,0.8,6,1,2,0.8,6,1,2,0.8
63,8,3,5,0.863894,0.926977,0.363636,2,1,6,0.363636,2,1,6,0.363636,2,1,6,0.363636,2,1,6,0.363636,2,1,6,0.363636,2,1,6,0.363636,2,1,6,0.363636,2,1,6,0.363636,2,1,6,0.363636,2,1,6,0.363636
64,16,3,13,0.875719,0.933742,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263,1,2,15,0.105263
65,20,5,15,0.853379,0.92089,0.264,4,1,16,0.32,4,1,16,0.32,4,1,16,0.32,3,2,17,0.24,3,2,17,0.24,3,2,17,0.24,3,2,17,0.24,3,2,17,0.24,3,2,17,0.24,3,2,17,0.24
66,10,4,6,0.870394,0.930706,0.285714,2,2,8,0.285714,2,2,8,0.285714,2,2,8,0.285714,2,2,8,0.285714,2,2,8,0.285714,2,2,8,0.285714,2,2,8,0.285714,2,2,8,0.285714,2,2,8,0.285714,2,2,8,0.285714
67,19,3,16,0.870103,0.93054,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909
